Ward,Year,Service Request Type,Count
Beaches-East York (19),2021,Litter / Sidewalk & Blvd / Pick Up Request,115
Beaches-East York (19),2021,Litter / Special Event / Pick Up Request,1
Beaches-East York (19),2021,Litter/Needle Cleanup,47
Beaches-East York (19),2021,Long Grass and Weeds,181
Beaches-East York (19),2021,Maintenance Hole - Overflowing,10
Beaches-East York (19),2021,Maintenance Hole-Damage,26
Beaches-East York (19),2021,Maintenance Hole-Missing Cover,3
Beaches-East York (19),2021,Maintenance Holes -Damage / Repair,39
Beaches-East York (19),2021,Maintenance Holes Lid Loose/Missing,6
Beaches-East York (19),2021,Missing/Damaged Flexible Bollards,13
Beaches-East York (19),2021,Missing/Damaged School Flashing Beacons,14
Beaches-East York (19),2021,Missing/Damaged Signs,176
Beaches-East York (19),2021,Missing/Damaged Watch Your Speed Boards,3
Beaches-East York (19),2021,Missing/Faded Pavement Markings,15
Beaches-East York (19),2021,Multi-Res / FEL / Bin Inventory,2
Beaches-East York (19),2021,Multi-Res / Furniture Pile / Not Picked Up,14
Beaches-East York (19),2021,Multi-Res / Garbage Cart / Not Picked Up,22
Beaches-East York (19),2021,Multi-Res / Garbage Front-End / Not Picked Up,14
Beaches-East York (19),2021,Multi-Res / Garbage Rear-Bin / Not Picked Up,1
Beaches-East York (19),2021,Multi-Res / Nite Garbage Pile / Not Picked Up,1
Beaches-East York (19),2021,Multi-Res / Nite Garbage Rear-Bin / Not Picked Up,13
Beaches-East York (19),2021,Multi-Res / Nite Recycle Cart / Not Picked Up,10
Beaches-East York (19),2021,Multi-Res / Organic Bin / Not Picked Up,15
Beaches-East York (19),2021,Multi-Res / Organic Cart / Not Picked Up,3
Beaches-East York (19),2021,Multi-Res / Organic FEL / Not Picked Up,4
Beaches-East York (19),2021,Multi-Res / Recycle Cart / Not Picked Up,15
Beaches-East York (19),2021,Multi-Res / Recycle Front-End / Not Picked Up,9
Beaches-East York (19),2021,Multi-Res / Recycle Rear-Bin / Not Picked Up,4
Beaches-East York (19),2021,Multi-Res / XMAS Tree / Pick Up,7
Beaches-East York (19),2021,Multi-Res / Yard Waste / Not Picked Up,1
Beaches-East York (19),2021,Multiple SRs/Collections Curb Day,12
Beaches-East York (19),2021,New Pedestrian Crossover,3
Beaches-East York (19),2021,New Traffic Control Signal Request,5
Beaches-East York (19),2021,Non-Res Cardboard Nite / Not Picked Up,5
Beaches-East York (19),2021,Non-Res Furniture / Not Picked Up Night,1
Beaches-East York (19),2021,Non-Res Garbage Bag / Not Picked Up,1
Beaches-East York (19),2021,Non-Res Garbage Bag Nite / Not Picked Up,3
Beaches-East York (19),2021,Non-Res Garbage Bin / Not Picked Up,7
Beaches-East York (19),2021,Non-Res Garbage Bin Nite / Not Picked Up,8
Beaches-East York (19),2021,Non-Res Organic Bin / Not Picked Up,4
Beaches-East York (19),2021,Non-Res Organic Bin Nite / Not Picked Up,12
Beaches-East York (19),2021,Non-Res Recycle Bin / Not Picked Up,14
Beaches-East York (19),2021,Non-Res Recycle Bin Nite / Not Picked Up,9
Beaches-East York (19),2021,Non-Res Yard Waste / Not Picked Up,1
Beaches-East York (19),2021,One-way Streets,1
Beaches-East York (19),2021,Operator / Operations Compliment,20
Beaches-East York (19),2021,PXO Maintenance,29
Beaches-East York (19),2021,Park Use,136
Beaches-East York (19),2021,Parking in a Public Lane,1
Beaches-East York (19),2021,Parks Ravine Safety Mtc FNEM,5
Beaches-East York (19),2021,Pedestrian Crossing Protection,1
Beaches-East York (19),2021,Pedestrian Issues/Timing/Delays,4
Beaches-East York (19),2021,Pit Cover/Paver Maintenance,4
Beaches-East York (19),2021,Pollution Spill Response,31
Beaches-East York (19),2021,Postering City Property/Structures,9
Beaches-East York (19),2021,Prohibited Acts/Pollicking,2
Beaches-East York (19),2021,Prohibited Waste,9
Beaches-East York (19),2021,Property Damaged/Collections Curb Day,14
Beaches-East York (19),2021,Property Standards,683
Beaches-East York (19),2021,Publication Request - Solid Waste,132
Beaches-East York (19),2021,Recycle / Park / Bin Overflow,2
Beaches-East York (19),2021,Registration - Toronto Water,149
Beaches-East York (19),2021,Res / Above Comm / Organic Green Bin / Not Picked Up,8
Beaches-East York (19),2021,Res / Garbage / Multiple Addresses Not Picked Up,34
Beaches-East York (19),2021,Res / Garbage / Not Picked Up,615
Beaches-East York (19),2021,Res / Garbage Front&Side / Not Picked Up,12
Beaches-East York (19),2021,Res / Nite Garbage / Not Picked Up,6
Beaches-East York (19),2021,Res / Nite Organic / Not Picked Up,9
Beaches-East York (19),2021,Res / Nite Organic&Garbage / Not Picked Up,1
Beaches-East York (19),2021,Res / Nite Recycle / Not Picked Up,2
Beaches-East York (19),2021,Res / Org&Garbage Front&Side / Not Picked Up,2
Beaches-East York (19),2021,Res / Org&Garbage Multiple Addresses / Not Picked Up,1
Beaches-East York (19),2021,Res / Org&Recycle Front&Side / Not Picked Up,1
Beaches-East York (19),2021,Res / Organic Bin / Additional,47
Beaches-East York (19),2021,Res / Organic Bin / New Account,56
Beaches-East York (19),2021,Res / Organic Bin / Replace Missing,233
Beaches-East York (19),2021,Res / Organic Front&Side / Not Picked Up,24
Beaches-East York (19),2021,Res / Organic Green Bin / Multiple Addresses / Not Picked Up,99
Beaches-East York (19),2021,Res / Organic Green Bin / Not Picked Up,450
Beaches-East York (19),2021,Res / Organic&Garbage / Not Picked Up,11
Beaches-East York (19),2021,Res / Organic&Recycle / Not Picked Up,4
Beaches-East York (19),2021,Res / Recycle / Multiple Addresses / Not Picked Up,18
Beaches-East York (19),2021,Res / Recycle / Not Picked Up,371
Beaches-East York (19),2021,Res / Recycle Front&Side / Not Picked Up,10
Beaches-East York (19),2021,Res / Yard Waste Multiple Addresses / Not Picked Up,75
Beaches-East York (19),2021,Res Above Comm / Nite Garbage / Not Picked Up,12
Beaches-East York (19),2021,Res Above Comm / Nite Recycle / Not Picked Up,12
Beaches-East York (19),2021,Reserved Lane,1
Beaches-East York (19),2021,Residential / Nite Furniture / Not Picked Up,3
Beaches-East York (19),2021,Residential / Nite Yard Waste / Not Picked Up,1
Beaches-East York (19),2021,Residential / XMAS Tree / Not Picked Up,59
Beaches-East York (19),2021,Residential / Yard Waste / Not Picked Up,280
Beaches-East York (19),2021,Residential Furniture / Not Picked Up,318
Beaches-East York (19),2021,Residential: Bin: Repair or Replace Body/Handle,451
Beaches-East York (19),2021,Residential: Bin: Repair or Replace Lid,774
Beaches-East York (19),2021,Residential: Bin: Repair or Replace Metal Bar,64
Beaches-East York (19),2021,Residential: Bin: Repair or Replace Wheel,53
Beaches-East York (19),2021,Residential: Bin: Wrong Delivery,162
Beaches-East York (19),2021,Residential: Garbage Bin: Additional Extra Large,14
Beaches-East York (19),2021,Residential: Garbage Bin: Additional Large,13
Beaches-East York (19),2021,Residential: Garbage Bin: Additional Medium,8
Beaches-East York (19),2021,Residential: Garbage Bin: Additional Small,4
Beaches-East York (19),2021,Residential: Garbage Bin: Exchange to Extra Large,72
Beaches-East York (19),2021,Residential: Garbage Bin: Exchange to Large,231
Beaches-East York (19),2021,Residential: Garbage Bin: Exchange to Medium,245
Beaches-East York (19),2021,Residential: Garbage Bin: Exchange to Small,104
Beaches-East York (19),2021,Residential: Garbage Bin: Missing,226
Beaches-East York (19),2021,Residential: Garbage Bin: New Account Extra Large,8
Beaches-East York (19),2021,Residential: Garbage Bin: New Account Large,12
Beaches-East York (19),2021,Residential: Garbage Bin: New Account Medium,19
Beaches-East York (19),2021,Residential: Garbage Bin: New Account Small,9
Beaches-East York (19),2021,Residential: Recycle Bin: Additional Extra Large,47
Beaches-East York (19),2021,Residential: Recycle Bin: Additional Large,23
Beaches-East York (19),2021,Residential: Recycle Bin: Additional Medium,9
Beaches-East York (19),2021,Residential: Recycle Bin: Additional Small,1
Beaches-East York (19),2021,Residential: Recycle Bin: Exchange to Large,103
Beaches-East York (19),2021,Residential: Recycle Bin: Exchange to Medium,80
Beaches-East York (19),2021,Residential: Recycle Bin: Exchange to Small,8
Beaches-East York (19),2021,Residential: Recycle Bin: Missing,232
Beaches-East York (19),2021,Residential: Recycle Bin: New Account Extra Large,16
Beaches-East York (19),2021,Residential: Recycle Bin: New Account Large,16
Beaches-East York (19),2021,Residential: Recycle Bin: New Account Medium,15
Beaches-East York (19),2021,Residential: Recycle Bin: New Account Small,1
Beaches-East York (19),2021,Residential:Recycle Bin:Exchange to Extra Large,142
Beaches-East York (19),2021,Restoration Related,46
Beaches-East York (19),2021,Retaining Wall - Damage / Repair,10
Beaches-East York (19),2021,Road - Cleaning/Debris,215
Beaches-East York (19),2021,Road - Damaged,47
Beaches-East York (19),2021,Road - Graffiti Complaint,2
Beaches-East York (19),2021,Road - Plough Damage,1
Beaches-East York (19),2021,Road - Pot hole,230
Beaches-East York (19),2021,Road - Sanding / Salting Required,21
Beaches-East York (19),2021,Road - Sinking,94
Beaches-East York (19),2021,Road Design,2
Beaches-East York (19),2021,Road Ploughing Required,19
Beaches-East York (19),2021,Road Water Ponding,33
Beaches-East York (19),2021,Road-Illegal Dumping,11
Beaches-East York (19),2021,Road-Winter Request/ Complaint,27
Beaches-East York (19),2021,Roadside - Plough Damage,3
Beaches-East York (19),2021,Roadside Utility Cut - Settlement,3
Beaches-East York (19),2021,Roadway Utility Cut - Settlement,36
Beaches-East York (19),2021,SERVICES PROT CUST,23
Beaches-East York (19),2021,STRAY AT LARGE,29
Beaches-East York (19),2021,STRAY CONFINED,37
Beaches-East York (19),2021,School-Related Warning Signs,1
Beaches-East York (19),2021,Sewer Odour,41
Beaches-East York (19),2021,Sewer Service Line-Blocked,447
Beaches-East York (19),2021,Sewer Service Line-Cleanout Repair,14
Beaches-East York (19),2021,Sewer main-Backup,4
Beaches-East York (19),2021,Sidewalk - Cleaning,28
Beaches-East York (19),2021,Sidewalk - Damaged / Concrete,134
Beaches-East York (19),2021,Sidewalk - Damaged /Brick/Interlock,11
Beaches-East York (19),2021,Sidewalk - Graffiti Complaint,7
Beaches-East York (19),2021,Sidewalk - Paraplegic Ramps,1
Beaches-East York (19),2021,Sidewalk - Seniors Snow Clearing,7
Beaches-East York (19),2021,Sidewalk - Snow Clearing,12
Beaches-East York (19),2021,Sidewalk Icy|| Needs Sand/Salt,24
Beaches-East York (19),2021,Sidewalk-Water Ponding,10
Beaches-East York (19),2021,Sight Line Obstruction,32
Beaches-East York (19),2021,Signal Timing Review/Vehicle Delays,13
Beaches-East York (19),2021,Signs,27
Beaches-East York (19),2021,Sink Hole,38
Beaches-East York (19),2021,Snow Removal - School Zone,4
Beaches-East York (19),2021,Snow Removal - Sightline Problem,1
Beaches-East York (19),2021,Speed Bumps in Laneway,3
Beaches-East York (19),2021,Speed Watch Programme,2
Beaches-East York (19),2021,Speeding,3
Beaches-East York (19),2021,Spills/Cleanup/Collections Curb Day,46
Beaches-East York (19),2021,Spills/Cleanup/Collections FEL,2
Beaches-East York (19),2021,Spills/Cleanup/Collections Nights,1
Beaches-East York (19),2021,Staff Conduct / Collections / Parks,1
Beaches-East York (19),2021,Staff Conduct/Collections Curb Day,107
Beaches-East York (19),2021,Staff Conduct/Collections FEL,9
Beaches-East York (19),2021,Staff Conduct/Collections Nights,2
Beaches-East York (19),2021,Staff Conduct/Litter Operations,1
Beaches-East York (19),2021,Staff Service Complaint,19
Beaches-East York (19),2021,Staff Service Compliment,3
Beaches-East York (19),2021,Stemming,240
Beaches-East York (19),2021,Storm Clean Up,372
Beaches-East York (19),2021,Street Light Out,6
Beaches-East York (19),2021,Street furniture damaged,3
Beaches-East York (19),2021,Stumping,3
Beaches-East York (19),2021,TAS_COYOT RESP AN-ATTACK,1
Beaches-East York (19),2021,TAS_COYOT RESP HU-ATTACK,1
Beaches-East York (19),2021,Time Limit or Excessive Duration Parking,1
Beaches-East York (19),2021,Traffic Calming Measures,19
Beaches-East York (19),2021,Traffic Island-Grass Needs Cutting,9
Beaches-East York (19),2021,Traffic Sign - Graffiti Complaint,3
Beaches-East York (19),2021,Traffic Signal - Graffiti Complaint,1
Beaches-East York (19),2021,Traffic Signal Maintenance,140
Beaches-East York (19),2021,Tree Planting,100
Beaches-East York (19),2021,Trees and Plants,2
Beaches-East York (19),2021,Walkway - damaged,8
Beaches-East York (19),2021,Walkway-Weeds Need Cutting,12
Beaches-East York (19),2021,Waste,226
Beaches-East York (19),2021,Waste Storage,26
Beaches-East York (19),2021,Water Meter-Leaking,4
Beaches-East York (19),2021,Water Quality-Discoloured (Rusty or dirty) Water,12
Beaches-East York (19),2021,Water Service Line-Check Water Service Box,110
Beaches-East York (19),2021,Water Service Line-Leaking,42
Beaches-East York (19),2021,Water Service Line-Low Pressure|| Low Flow Appt,82
Beaches-East York (19),2021,Water Service Line-Low Pressure|| Low Flow Insp,31
Beaches-East York (19),2021,Water Service Line-No Water,75
Beaches-East York (19),2021,Water Service Line-Turn Off,123
Beaches-East York (19),2021,Water Service Line-Turn Off/Burst,54
Beaches-East York (19),2021,Water Service Line-Turn On,76
Beaches-East York (19),2021,Water Service Test for High Lead Content,59
Beaches-East York (19),2021,Water Valve-Leaking,13
Beaches-East York (19),2021,Watercraft,2
Beaches-East York (19),2021,Watermain-Possible Break,75
Beaches-East York (19),2021,Wrong Location/Time/Day,43
Beaches-East York (19),2021,Zoning,307
Beaches-East York (19),2022,Access/AODA Complaint,1
Beaches-East York (19),2022,Accessibility Complaint,1
Beaches-East York (19),2022,Adequate Heat,119
Beaches-East York (19),2022,All / Hazardous Waste / Not Picked Up,15
Beaches-East York (19),2022,All / Hazardous Waste / Pick Up Request,395
Beaches-East York (19),2022,All-Way Stop Sign Controls,2
Beaches-East York (19),2022,Alternate Side Parking,2
Beaches-East York (19),2022,Amplified Sound,359
Beaches-East York (19),2022,Animals,3
Beaches-East York (19),2022,Appliance (Emergency),2
Beaches-East York (19),2022,Application Mail Out / Non-Res,13
Beaches-East York (19),2022,Application Status / Non-Res,13
Beaches-East York (19),2022,Bees/Wasp,26
Beaches-East York (19),2022,Bike Lane - Winter Maintenance Required,12
Beaches-East York (19),2022,Bin Investigation Request,231
Beaches-East York (19),2022,Blocked Access By Parking,17
Beaches-East York (19),2022,Bollard - Damaged,14
Beaches-East York (19),2022,Boulevard - Pick-Up Shopping Carts,6
Beaches-East York (19),2022,Boulevard - Plough Damage,76
Beaches-East York (19),2022,Boulevards - Damaged Asphalt,48
Beaches-East York (19),2022,Boulevards - Snow Piled Too High / Too Much,112
Beaches-East York (19),2022,Boulevards - Weed Removal,12
Beaches-East York (19),2022,Boulevards-Grass Cutting,20
Beaches-East York (19),2022,Bridge - Damaged Structure,4
Beaches-East York (19),2022,Bridge - Debris / Litter,4
Beaches-East York (19),2022,Bridge - Graffiti Complaint,5
Beaches-East York (19),2022,Bridge - Surface Repair,2
Beaches-East York (19),2022,Bridge Icy Needs Sand/Salt,9
Beaches-East York (19),2022,Bus Stop Icy Needs Sand/Salt,6
Beaches-East York (19),2022,Bus Stops Snow Clearing Required,37
Beaches-East York (19),2022,Business Complaint,38
Beaches-East York (19),2022,By-Law Contravention Invest,84
Beaches-East York (19),2022,Bylaw Enforcement: Excavation,10
Beaches-East York (19),2022,COVID Business Complaint,3
Beaches-East York (19),2022,Cadaver - Domestic,57
Beaches-East York (19),2022,Cadaver - Wildlife,1174
Beaches-East York (19),2022,Catch Basin - Blocked / Flooding,98
Beaches-East York (19),2022,Catch Basin - Damaged Maintenance Requested,26
Beaches-East York (19),2022,Catch Basin - Debris / Litter,18
Beaches-East York (19),2022,Catch Basin -Cover Missing / Damaged / Loose,5
Beaches-East York (19),2022,Catch basin (Storm) - Damage,4
Beaches-East York (19),2022,Catch basin (Storm) - Other,9
Beaches-East York (19),2022,Catch basin (Storm) - Overflowing,7
Beaches-East York (19),2022,Catch basin Maintenance and Repair,6
Beaches-East York (19),2022,Commercial Dog Walkers,1
Beaches-East York (19),2022,Commercial Enterprises,3
Beaches-East York (19),2022,Commercial Tree Maint Req,1
Beaches-East York (19),2022,Commercial Tree Planting,3
Beaches-East York (19),2022,Commercial Tree Pruning,20
Beaches-East York (19),2022,Commercial Tree Removal,4
Beaches-East York (19),2022,Commercial Tree Storm Clean Up,5
Beaches-East York (19),2022,Complaint - Crossing Guard Conduct,7
Beaches-East York (19),2022,Complaint / Investigation - Grass and Weeds Enforcement,19
Beaches-East York (19),2022,Complaint / Investigation - Idling Enforcement,21
Beaches-East York (19),2022,Complaint / Investigation - Leaves,11
Beaches-East York (19),2022,Complaint / Investigation - Water Discharge,22
Beaches-East York (19),2022,Complaint regarding Contractor,34
Beaches-East York (19),2022,Complaint-Access,2
Beaches-East York (19),2022,Complaint-Outcome of the Service,59
Beaches-East York (19),2022,Complaint-Process and Procedures,23
Beaches-East York (19),2022,Complaint-Staff Conduct,14
Beaches-East York (19),2022,Complaint-Time Line of the Service,21
Beaches-East York (19),2022,Complaint/Investigation - Encroachment,174
Beaches-East York (19),2022,Complaint/Investigation -Abandoned Bikes,6
Beaches-East York (19),2022,Compliment-Employee/Operation,15
Beaches-East York (19),2022,Conduct,9
Beaches-East York (19),2022,Construction Noise,207
Beaches-East York (19),2022,Containers,18
Beaches-East York (19),2022,Contaminated Waste/Preparation,10
Beaches-East York (19),2022,Coyote Response - Animal Bite,2
Beaches-East York (19),2022,Coyote Response - Danger to Public Safety,2
Beaches-East York (19),2022,Curb - Adjust Height (Too High/Low),33
Beaches-East York (19),2022,Curb - Damaged,21
Beaches-East York (19),2022,Dangerous Private Tree Investigation,74
Beaches-East York (19),2022,Dead Animal On Expressway,1
Beaches-East York (19),2022,Disabled Persons' Parking Space,29
Beaches-East York (19),2022,Dispute SR Status/Bins,53
Beaches-East York (19),2022,Dispute SR Status/Collections Curb Day,141
Beaches-East York (19),2022,Dispute SR Status/Collections FEL,9
Beaches-East York (19),2022,Dispute SR Status/Collections Nights,8
Beaches-East York (19),2022,Dispute SR Status/Litter Operations,8
Beaches-East York (19),2022,District Operations-Attitude and Behavior,5
Beaches-East York (19),2022,District Operations-Compliment,3
Beaches-East York (19),2022,District Operations-Construction Site Unsafe,2
Beaches-East York (19),2022,District Operations-Contractor Related,13
Beaches-East York (19),2022,District Operations-Equipment/Untidy Const Site,6
Beaches-East York (19),2022,District Operations-Process,36
Beaches-East York (19),2022,District Operations-Restoration,28
Beaches-East York (19),2022,District Operations-Timeliness,54
Beaches-East York (19),2022,Ditch Maintenance Requested,1
Beaches-East York (19),2022,Dogs off Leash,69
Beaches-East York (19),2022,Driveway - Damaged / Ponding,12
Beaches-East York (19),2022,Driveway-Blocked By Windrow,96
Beaches-East York (19),2022,EAB Exemption Request,1
Beaches-East York (19),2022,Election Signs,13
Beaches-East York (19),2022,Encroachments,4
Beaches-East York (19),2022,FEL Multi-Res / Recycle Cart / Not Picked Up,6
Beaches-East York (19),2022,FEL Multi-Res Furniture / Not Picked Up,57
Beaches-East York (19),2022,FEL Multi-Res Yard Waste / Not Picked Up,2
Beaches-East York (19),2022,FEL Non-Res / Garbage / Not Picked Up,24
Beaches-East York (19),2022,FEL Non-Res Organic / Not Picked Up,2
